date,mkt_chg,base,score_raw,score_eff,action_ratio,final_multiplier,amount_before_cap,amount_final,channel,cash,position,market_temp,market_mode,trend_strong,current_gain,holding_days,fee_rate,net_gain
2026-05-25,2.5562,94.08,65.86,45.15,1.0,1.0,118.81,118.81,A,1000,0.0,19.19,attack,True,0.0,0,0.015,0.0
2026-05-26,-0.3768,51.09,35.77,30.89,1.0,1.0219,52.05,52.05,A,881.07,118.32,19.46,attack,True,-0.0041,1,0.015,-0.0041
2026-05-27,-0.7548,57.28,40.09,33.39,1.0,1.092,62.29,62.29,A,828.97,169.66,18.47,attack,True,-0.007,2,0.015,-0.007
2026-05-28,0.9392,73.72,51.61,39.21,1.0,1.0165,88.81,88.81,A,766.62,240.25,16.85,attack,True,0.0304,3,0.015,0.0154
2026-05-29,-2.7008,36.29,25.4,24.1,1.0,1.1,29.15,29.15,A,677.72,322.14,14.96,attack,True,0.0006,4,0.015,-0.0144
